epoch,loss_train,loss_valid,roc_auc_train,roc_auc_valid,fold
0,0.7817926479455752,0.7687693238258362,0.5445812625176174,0.5363636363636365,0
1,0.6961806351557757,0.7250278711318969,0.5417624805281507,0.5718475073313783,0
2,0.7001904249191284,0.7258048176765441,0.5194162154142867,0.5739002932551319,0
3,0.6968953357293055,0.691432785987854,0.5594725910540761,0.5730205278592375,0
4,0.6932311638807639,0.6900953888893128,0.5513222312884801,0.5607038123167154,0
5,0.6910734405884376,0.7003687739372253,0.5656572212743862,0.5829912023460411,0
6,0.6938804747202457,0.6904624462127685,0.5712020621615608,0.5489736070381231,0
7,0.6869126244997367,0.6880834817886352,0.5592593279430309,0.5674486803519061,0
8,0.6761445670555799,0.8907400369644165,0.6129552703805354,0.42346041055718475,0
9,0.6781494105473543,0.686934518814087,0.5985924634671018,0.5970674486803519,0
10,0.6648166863582073,0.701440966129303,0.6440731399747792,0.5568914956011731,0
11,0.6186256825159757,0.774185061454773,0.7220254432163784,0.45923753665689154,0
12,0.59604590290632,0.7717692255973816,0.7458830947259105,0.4935483870967742,0
13,0.5269452663950431,0.8236349940299987,0.8195145018915511,0.5395894428152492,0
14,0.38385424772516274,0.9969134330749512,0.9153530895334174,0.5551319648093842,0
